Sr No,Test Name,Test ID,Test Code,Dictionary ID,Profile,Test Amount,Cost Of Test,Outsource Amount,Minimum Selling Price,Revenue Cap,Test Type,Outsource Center,Sample Type,Test Category,Department Name,Accreditation,Integration Code,Short Text,CAP Test,Target TAT (HH:MM),Verification Status,Test Description
12,ABPA PANEL,9705180,ABPA PANEL,-,No,3000,0.00,3000,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
13,INBORN ERRORS OF METABOLISM (IEM),9685931,INBORN ERRORS OF METABOLISM (IEM),-,No,5400,2860.00,5400,3000.00,0.00,Pathology,SELF,HEEL PRICK ,-,Special Biochemistry,Not enable,-,-,NO,-,Not Verified,TEST IS OUTSOURCED TO LIFE CELL DIAGNOSTICS
14,Stress Cytogenetics-chromosomal breakage Study,9666568,Stress Cytogenetics-chromosomal breakage Study,-,No,7500,0.00,7500,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
15,VALPROIC ACID (SODIUM VALPROATE)	,9654806,VALPROIC ACID (SODIUM VALPROATE)	,-,No,1000,0.00,1000,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
16,MYCOBACTERIUM COMPLEX - PCR (TISSUE),9654649,Endometrium TB PCR,-,No,2000,0.00,0,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
17,URINE FOR PH,9654401,URINE FOR PH,-,No,100,0.00,100,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
18,CALCIUM/CREATININE - RATIO 24 HOURS	,9654396,CALCIUM/CREATININE - RATIO 24 HOURS	,-,No,500,0.00,500,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
19,SERUM MERCURY,9646196,SERUM MERCURY,-,No,2100,0.00,2100,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
20,"COPPER, SPOT URINE ",9640359,"COPPER, SPOT URINE ",-,No,1450,0.00,1450,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
21,METHOTRXATE LEVEL	,9640355,METHOTRXATE LEVEL	,-,No,4000,0.00,4000,3200.00,3200.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
22,ANTI DS DNA ANTIBODY SEROLOGY,9605660,ANTI DS DNA ANTIBODY SEROLOGY,-,No,950,0.00,950,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
23,ANTI NUCLEAR ANTIBODY SEROLOGY,9605659,ANTI NUCLEAR ANTIBODY SEROLOGY,-,No,1000,0.00,1000,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
24,Lipase (Fluid),9493145,LIPASE,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
25,Bilirubin (Fluid) ,9493143,Bilirubin (Fluid) ,-,No,100,0.00,0,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
26,Triglycerides (Fluid) ,9493142,Triglycerides (URINE) ,-,No,200,0.00,200,0.00,0.00,Pathology,SELF,Fluoride-P,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,PLAIN SAMPLE (FASTING SAMPLE)
27,Creatinine (Fluid),9493141,CREATININE CEP,-,No,200,0.00,200,0.00,0.00,Pathology,SELF,Fluid,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
28,ULTRASOUND GUIDED FNAC (USG GUIDED FNAC),9478206,CY002,-,No,1500,0.00,1500,0.00,0.00,Pathology,SELF,Fluid,Cytology,Cytology,Not enable,-,USGFNA,NO,-,Not Verified,
29,Surgical Profile - Mini,9453434,Surgical Profile - Mini,-,Yes,1850.0,0.00,0.0,925.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
30,"LH,FSH,PRL  PROFILE",9448421,LFP,-,Yes,1500.0,150.00,0.0,260.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
31,Electrolytes With Calcium Total,9083389,EC01,-,Yes,600.0,100.00,0.0,150.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
32,KFT WITH GFR,8904443,KG01,-,Yes,1300.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
33,COMPLETE HEALTH CHECKUP PROFILE (CH PROFILE) ,8904442,CH01,-,Yes,6910.0,650.00,0.0,650.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
34,BASIC PROFILE ,8904441,BP01,-,Yes,4410.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
35,KFT PROFILE WITH GFR*,8904438,KF01,-,Yes,1300.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
36,"Infertility Panel -Comprehensive,Female",8904430,INF01,-,Yes,2500.0,1100.00,0.0,1800.00,1800.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
37,Microprotein ,8904410,Microprotein ,-,No,500,0.00,500,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
38,S.DIPHTHERIA ANTIBODY IGG*,8904263,S.DIPHTHERIA ANTIBODY IGG*,-,No,2700,0.00,2700,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
39,KIDNEY FUNCTION WITH EGFR,8747666,KIDNEY FUNCTION WITH EGFR,-,Yes,900.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
40,KFT WITH EGFR,8747660,KFT WITH EGFR,-,No,700,0.00,700,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
41,"ACUTE LEUKEMIA BASIC LINEAGE (T,B MYELOID) PANEL",8453300,"ACUTE LEUKEMIA BASIC LINEAGE (T,B MYELOID) PANEL",-,No,7600,0.00,7600,0.00,0.00,Pathology,SELF,Bone Marrow,-,Pathology,Not enable,-,-,NO,-,Not Verified,
42,HISTOPLASMA ANTIGEN URINE ,8448274,HISTOPLASMA ANTIGEN URINE ,-,No,4000,0.00,4000,0.00,0.00,Pathology,SELF,Urine,-,Clinical Biochemistry,Not enable,-,-,NO,-,Not Verified,
43,BONE MARROW BIOPSY,8433588,BONE MARROW BIOPSY,-,No,2000,0.00,2000,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
44,LINE PROBE ASSAY,8411986,LINE PROBE ASSAY,-,No,4000,2600.00,4000,2800.00,2800.00,Pathology,SELF,Any Specimen,-,Microbiology,Not enable,-,-,NO,-,Not Verified,
45,NICU PROFILE WITH CBC AND I:T RATIO,8249627,NCIT,-,Yes,3000.0,1200.00,0.0,1200.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
46,NICU PROFILE WITH IT RATIO ,8249626,NIT,-,Yes,2700.0,1080.00,0.0,1080.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,0:24,Not Verified,SPECIALLY FOR RUDRA HOSPITAL 
47,PPMC MER,8249471,PPMC MER,-,No,100,0.00,100,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
48,USG Abdomen and Pelvis,8249461,USG Abdomen and Pelvis,-,No,800,0.00,800,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
49,MPAGI_PP_002,8249460,MPAGI2,-,Yes,4610.0,4610.00,0.0,1300.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
50,MPAGI_PP_001,8249459,MPAGI01,-,Yes,3810.0,3810.00,0.0,800.00,800.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
51,I:T Ratio,8248887,I:T Ratio,-,No,450,0.00,450,0.00,0.00,Pathology,SELF,EDTA WB,-,Pathology,Not enable,-,-,NO,-,Not Verified,
52,SEMEN FRUCTOSE,8125176,C289,-,No,500,0.00,500,0.00,0.00,Pathology,SELF,Fluoride-P,-,Andrology,Not enable,-,-,NO,-,Not Verified,
53,HIV - 1 QUANTITATIVE VIRAL LOAD *,8122221,P005,-,No,4000,0.00,4000,0.00,0.00,Pathology,SELF,Fluoride-P,-,Immunology/Serology,Not enable,-,-,NO,-,Not Verified,
54,HIV-1 QUANTITATIVE REAL TIME PCR*,8120667,HIV-1 QUANTITATIVE REAL TIME PCR*,-,No,4000.0,0.00,4000.0,0.00,0.00,Pathology,SELF,Fluoride-P,-,Pathology,Not enable,-,-,NO,-,Not Verified,
55,CULTURE URINE*,7949451,M044,-,No,600,0.00,400,0.00,0.00,Pathology,SELF,Urine,-,Microbiology,Not enable,-,-,NO,-,Not Verified,FOR GNB AST 
56,GNB AST,7949450,M044,-,No,600,0.00,400,0.00,0.00,Pathology,SELF,Fluoride-P,-,Microbiology,Not enable,-,-,NO,-,Not Verified,FOR GNB AST 
57,Progesterone (vet),7730513,Progesteron (vet),-,No,650,0.00,650,0.00,0.00,Pathology,SELF,Serum,Immunology,Immunology,Not enable,-,-,NO,-,Not Verified,
58,ACID FAST SUSPECTIBILITY - 5 DRUGS (L- J)(FIRST LINE DRUG),7654208,M003,-,No,3250,0.00,0,2275.00,0.00,Pathology,SELF,Any Specimen,-,Microbiology,Not enable,-,-,NO,-,Not Verified,"Includes Streptomycin, Isoniazid, Rifampicin, Ethambutol MTB Pure culture
"
59,ABF RAPID CULTURE (BD BACTEC MGIT),7654206,ABF RAPID CULTURE (BD BACTEC MGIT),-,No,1200,300.00,1200,840.00,0.00,Pathology,SELF,Any Specimen,-,Pathology,Not enable,-,-,NO,-,Not Verified,
60,LYME SEROLOGY TEST IGG*,7350281,LYME SEROLOGY TEST IGG*,-,No,2000,0.00,2000,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
61,ET TUBE CULTURE,7337860,THROAT  SWAB CULTURE,-,No,600,0.00,600,0.00,0.00,Pathology,SELF,Swab,-,Pathology,Not enable,-,-,NO,-,Not Verified,
62,ECG,7255670,ECG,-,No,300,0.00,300,0.00,0.00,File Report,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,ECG
63,"ARTERIAL BLOOD GAS, ANALYSIS",7093936,ABG,-,No,1500.0,0.00,1500.0,0.00,0.00,Pathology,SELF,Blood,-,Pathology,Not enable,-,-,NO,-,Not Verified,
64,VET RBS ,7074836,RBS CEP,-,No,60,0.00,0,0.00,0.00,Pathology,SELF,Fluoride Plasma,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
65,Lactate Dehydrogenase ( Ldh ),6975443,Lactate Dehydrogenase ( Ldh ),-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
66,"G-6-PD, QUANTITATIVE, BLOOD",6975436,G6PD (Glucose 6 Phosphate Dehydrogenase) Quantitative,-,No,1200,0.00,1200,0.00,0.00,Pathology,SELF,EDTA WB,-,Pathology,Not enable,-,-,NO,-,Not Verified,
67,"G-6-PD, QUANTITATIVE, BLOOD",6975435,G6PD (Glucose 6 Phosphate Dehydrogenase) Quantitative,-,No,1200,0.00,1200,0.00,0.00,Pathology,SELF,EDTA WB,-,Pathology,Not enable,-,-,NO,-,Not Verified,
68,CYTOMEGALOVIRUS DNA PCR -  QUALITATIVE*,6896572,P018,-,No,4000,2450.00,4000,3000.00,0.00,Pathology,CRL DIAGNOSTICS,Serum,-,Special Biochemistry,Not enable,-,-,NO,-,Not Verified,
69,BIOPSY -EXTRA LARGE TISSUE,6894498,LARGE,-,No,3000,0.00,3000,0.00,0.00,Radiology,SELF,Tissue,-,Histopathology,Not enable,-,-,NO,-,Not Verified,
70,CARDIAC PROFILE ,6825416,CP01,-,Yes,3600.0,1000.00,0.0,1440.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
71,VET KFT,6798785,KFT,-,No,700,0.00,600,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
72,BIOPSY MEDIUM TISSUE*,6797001,BIOPSY MEDIUM TISSUE,-,No,900,0.00,900,0.00,0.00,Pathology,SELF,Tissue,-,Histopathology,Not enable,-,-,NO,-,Not Verified,
73,VETENARY HBA1C,6786857,C107,-,No,600,0.00,600,300.00,600.00,Pathology,SELF,EDTA WB,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
74,VETENARY LFT  ,6786855,P66M,-,No,600,0.00,600,300.00,600.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
75,VET HEMATOLOGY CBC,6786853,VET HEMATOLOGY CBC,-,No,300,0.00,300,150.00,300.00,Pathology,SELF,EDTA WB,Haematology,Hematology,Not enable,-,-,NO,-,Not Verified,
76,NICU PROFILE,6772180,NP01,-,Yes,1350.0,530.00,540.0,540.00,540.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
77,SCRUB TYPHUS (ANTIBODY)RAPID CARD,6757248,SCRUB TYPHUS RAPID CARD,-,No,1400,0.00,1200,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,-,NO,-,Not Verified,
78,BIOPSY LARGE TISSUE,6611033,LARGE,-,No,1500,0.00,1500,0.00,0.00,Radiology,SELF,Tissue,-,Histopathology,Not enable,-,LARGE,NO,-,Not Verified,
79,MEDIUM  TISSUE BIOPSY,6611030,MEDIUM,-,No,900,0.00,900,0.00,0.00,Radiology,SELF,Tissue,-,Histopathology,Not enable,-,MEDIUM,NO,-,Not Verified,
80,BIOPSY SMALL TISSUE,6609095,SMALL,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Tissue,-,Histopathology,Not enable,-,SMALL,NO,-,Not Verified,
81,-,6579149,CY001,-,No,600,0.00,0,0.00,0.00,Pathology,SELF,Slides & Blocks,-,Cytology,Not enable,-,-,NO,-,Not Verified,
82,Uric Acid - SERUM*,6562720,URIC ACID CEP,-,No,200,0.00,99,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,2ml Serum to be collected in Plain Tube.
83,Tsh (Thyroid Stimulating Hormone)*,6562719,TSH (THYROID STIMULATING HORMONE),-,No,250,0.00,160,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,-,NO,-,Not Verified,PLAIN TUBE (minimum 2 ml serum )
84,Viral Marker*,6562713,Viral CEP,-,No,950,0.00,950,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,-,NO,-,Not Verified,
85,"VITAMIN B12, SERUM*",6562709,VITAMIN B12 CEP,-,No,1300,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,VITAMIN B12 CEP,NO,-,Not Verified,
86,URINE EXAMINATION ROUTINE*,6562701,URINE CEP,-,No,100,0.00,70,0.00,0.00,Pathology,SELF,Urine,-,Clinical Pathology,Not enable,-,URINE CEP,NO,-,Not Verified,
87,TROPONIN -I (QUANTITATIVE)*,6562699,TROPONIN I,-,No,1700.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,-,NO,-,Not Verified,
88,Kidney Function Test (KFT),6562695,KFT CEP,-,No,700,0.00,600,0.00,0.00,Pathology,SELF,Serum,Biochemistry,Biochemistry,Not enable,-,KFTCEP,NO,-,Not Verified,
89,PERICARDIAL FLUID ANALYSIS,6537724,C093,-,No,600,0.00,500,0.00,0.00,Pathology,SELF,Fluid,-,Cytology,Not enable,-,-,NO,-,Not Verified,
90,Return of cytology slide ,6449845,Return of cytology slide ,-,No,100,0.00,100,0.00,0.00,Pathology,SELF,Slides & Blocks,-,Histopathology,Not enable,-,-,NO,-,Not Verified,
91,BCR-ABL QUANTITATIVE,6449166,BCR-ABL QUANTITATIVE,-,No,5600,0.00,5600,0.00,0.00,Pathology,SELF,Blood,Oncology,Haematology,Not enable,-,-,NO,-,Not Verified,
92,CBC With LFT ,6424891,CLT,-,Yes,600.0,600.00,0.0,400.00,0.00,Pathology,SELF,-,Profiles,Profiles,Not enable,-,CLT,NO,-,Not Verified,
93,PRE - HEALTH CHECKUP -1 ,6375923,PHC,-,Yes,1698.0,1698.00,1698.0,1300.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,PROFILE FOR TRAVEL PURPOSE 
94,Lipid Profile Total,6318773,LIPID CEP,-,No,600,0.00,399,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,LIPID CEP,NO,-,Not Verified,
95,SUPER 4 LPL,6309221,SUPER 4 LPL,-,No,2350,0.00,2350,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
96,CULTURE PUS ,6297668,CULTURE PUS (ANAEROBIC),-,No,600,0.00,800,0.00,0.00,Pathology,SELF,Pus,-,Microbiology,Not enable,-,-,NO,-,Not Verified,
97,FLUID EXAMINATION REPORT,6260879,ASCITIC FLUID EXAMINATION,-,No,600,0.00,600,0.00,0.00,Pathology,SELF,Fluid,Cytology,Cytology,Not enable,-,-,NO,-,Not Verified,
98,RETURN OF SLIDE AND BLOCK :HPE,6236674,RETURN OF SLIDE AND BLOCK :HPE,-,No,100,0.00,100,0.00,0.00,Pathology,SELF,Slides & Blocks,-,Histopathology,Not enable,-,-,NO,-,Not Verified,
99,CA125*,6196267,CA125,-,No,1500,0.00,1500,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
100,HBA1C*,6196266,HBA1C CEP*,-,No,600,0.00,500,0.00,0.00,Pathology,SELF,EDTA WB,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
101,"VITAMIN B12, SERUM",6196265,"VITAMIN B12, SERUM",-,No,1300,0.00,1200,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,VIT B12,NO,-,Not Verified,
102,COMPLETE BLOOD COUNT (CBC),6196264,CBC,-,No,300,0.00,300,0.00,0.00,Pathology,SELF,EDTA WB,Haematology,Hematology,Not enable,-,CBC,NO,-,Not Verified,
103,VDRL TITER (Serology For Syphilis)*,6194973,VDRL,-,No,600.0,0.00,600.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,VDRL,NO,-,Not Verified,
104,TB EXPERT COMBO ,6194917,TEC01,-,Yes,3230.0,3230.00,0.0,2000.00,2000.00,Pathology,SELF,-,-,Mycobacteriology,Not enable,-,-,NO,-,Not Verified,
105,Anti Streptolysin O (ASO )* ,6149956,ASO,-,No,700,0.00,700,0.00,0.00,Pathology,SELF,Serum,-,Immunology/Serology,Not enable,-,-,NO,-,Not Verified,
106,IHC Panel,6007081,IHC - SMOOTH MUSCLE ACTIN (SMA),-,No,1750,0.00,1750,0.00,0.00,Pathology,SELF,Slides & Blocks,-,Histopathology,Not enable,-,-,NO,-,Not Verified,
107,Galectosimia screening,5999298,Galectosimia screening,-,No,700,0.00,700,0.00,0.00,Pathology,SELF,Serum,-,Pathology,Not enable,-,-,NO,-,Not Verified,
108,TRUE FULL BODY EXTENDED TESTING,5992029,TFBET01,-,Yes,3799.0,0.00,3799.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
109,TRUE FULL BODY ADVANCE TESTING,5992002,TFA01,-,Yes,3199.0,0.00,3199.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
110,TB SURE ,5929418,TB SURE ,-,No,3000,0.00,3000,0.00,0.00,Pathology,SELF,Blood,-,Mycobacteriology,Not enable,-,-,NO,-,Not Verified,
111,PCOD PROFILE,5892478,P79,-,Yes,3500.0,0.00,0.0,0.00,0.00,Pathology,SELF,Serum,-,Immunology,Not enable,-,-,NO,-,Not Verified,
112,SURGICAL PROFILE COMPLETE ,5818987,SPC01,-,Yes,3250.0,0.00,1600.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
113,Histopathology Slide Review,5816844,Histopathology Slide Review,-,No,200,0.00,200,0.00,0.00,Radiology,SELF,Slides & Blocks,-,Histopathology,Not enable,-,-,NO,-,Not Verified,
114,ICU PROFILE BASIC,5753669,ICUB01,-,Yes,2400.0,0.00,1200.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
115,ICU PROFILE,5753369,ICUP-01,-,Yes,3050.0,0.00,1525.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
116,LARGE BIOPSY PROCEDURE BLOCK AND SLIDE,5677439,LARGE BIOPSY PROCEDURE BLOCK AND SLIDE,-,No,550,0.00,500,0.00,0.00,Pathology,SELF,Tissue,-,Histopathology,Not enable,-,-,NO,-,Not Verified,
117,MEDIUM BIOPSY PROCEDURE BLOCK AND SLIDE,5677091,MEDIUM BIOPSY PROCEDURE BLOCK AND SLIDE,-,No,350,0.00,350,0.00,0.00,Pathology,SELF,Tissue,-,Histopathology,Not enable,-,-,NO,-,Not Verified,
118,SMALL BIOPSY PROCEDURE SLIDE AND BLOCK,5677089,SMALL BIOPSY PROCEDURE SLIDE AND BLOCK,-,No,170,0.00,170,0.00,0.00,Pathology,SELF,Tissue,-,Histopathology,Not enable,-,-,NO,-,Not Verified,
119,TRUE FULL BODY COMPLETE TESTING,5638596,TFCOMP,-,Yes,2499,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
120,ICU PROFILE-1,5612018,ICU PROFILE-1,-,Yes,780.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
121,FULL BODY HEALTH TEST,5534711,FULL BODY HEALTH TEST,-,Yes,699.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
122,LFT & KFT  FULL BODY HEALTH TEST,5534710,LFT & KFT,-,No,1200,0.00,1100,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
123,BIOCHEMISTRY - FULL BODY HEALTH lite,5534705,-01,-,No,1000,0.00,0,0.00,0.00,Pathology,SELF,Serum,-,Profiles,Not enable,-,-,NO,-,Not Verified,
124,SAMPLE COLLECTION CHARGE ,5483558,SAMPLE COLLECTION CHARGE ,-,No,100,0.00,100,0.00,0.00,Pathology,SELF,-,-,Pathology,Not enable,-,-,NO,-,Not Verified,
125,COVID RT PCR,5448623,COVID RT PCR,-,No,900,0.00,900,0.00,0.00,Pathology,SELF,Swab,-,Microbiology,Not enable,-,-,NO,-,Not Verified,
126,Iron studies,5444374,Iron studies,-,No,600,0.00,600,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
127,PREGNANCY PROFILE ,5401042,PP01,-,Yes,1600.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
128,Preoperative panel-1,5396649,Preoperative panel,-,Yes,2350.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
129,ANC PROFILE -1,5396478,AN01,-,Yes,2610.0,2610.00,0.0,1500.00,1500.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
130,Super Health - 4,5386237,SH04,-,Yes,2350.0,0.00,0.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
131,Super Health - 2,5386235,SH02,-,Yes,1350.0,1350.00,0.0,0.00,0.00,Pathology,SELF,-,-,Profiles,Not enable,-,-,NO,-,Not Verified,
132,BIOCHEMISTRY:- TRUE FULL BODY COMPLETE TESTING ,5343475,BIOCHEMISRTY :-,-,No,1000,0.00,00,0.00,0.00,Pathology,SELF,Serum,-,Biochemistry,Not enable,-,-,NO,-,Not Verified,
133,OGTT (Oral Glucose Tolerance Test -3 Sample),5301099,OG01,-,Yes,150.0,0.00,0.0,0.00,0.00,Pathology,SELF,Fluoride Plasma,-,Biochemistry,Not enable,-,GTT3,NO,-,Not Verified,
